Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand A,ORANGE BLEND,"5,339",$6.80 ,28,"2,266"
Brand C,CRANBERRY BLEND,15,$9.26 ,0,11
Brand F,ORANGE BLEND,"3,085",$3.96 ,330,929
Brand L,REMAINING FLAVOR,61,$4.40 ,61,18
Brand C,ORANGE BLEND,40,$7.15 ,18,26
Brand H,GRAPE,363,$4.40 ,363,122.0
Brand A,REMAINING FLAVOR,12,$5.49 ,0,4
Brand C,MANGO,149,$7.19 ,0,77
Brand A,POMEGRANATE,0,,0,
Brand F,REMAINING FLAVOR,232,$4.99 ,0,142
Brand A,GRAPE,"1,670",$7.28 ,"1,313",755
Brand A,REMAINING FLAVOR,386,$3.84 ,0,253
Brand F,CHERRY,"2,797",$5.76 ,180,"1,244"
Brand C,REMAINING FLAVOR,275,$6.65 ,275,97
Brand C,REMAINING FLAVOR,2,$6.99 ,0,1
Brand F,CHERRY,"3,025",$5.65 ,226,651
Brand A,CRANBERRY BLEND,"1,235",$5.45 ,267,484
Brand A,CRANBERRY BLEND,4,$1.49 ,0,1
Brand C,ORANGE BLEND,222,$9.13 ,42,151
Brand C,FRUIT PUNCH,3,$5.98 ,0,3
Brand A,CRANBERRY BLEND,46,$6.49 ,0,27
Brand C,REMAINING FLAVOR,29,$8.49 ,29,16
Brand A,REMAINING FLAVOR,0,,0,
Brand A,PINEAPPLE,"18,431",$6.59 ,759,"6,179"
Brand A,GRAPE,273,$5.96 ,48,122
Brand A,PINEAPPLE,858,$6.36 ,286,469
Brand A,CHERRY,576,$8.50 ,0,118
Brand A,CRANBERRY,398,$8.51 ,14,156
Brand L,MANGO,"1,102",$5.60 ,34,399.0
Brand C,BLUEBERRY,0,,0,
Brand A,REMAINING FLAVOR,777,$5.01 ,0,384
Brand F,CHERRY,"10,736",$5.21 ,0,504.0
Brand H,ORANGE BLEND,989,$4.80 ,0,470
Brand C,GRAPEFRUIT,708,$7.14 ,10,444
Brand F,CHERRY,368,$6.99 ,0,131
Brand L,REMAINING FLAVOR,406,$3.45 ,112,182
Brand L,REMAINING FLAVOR,"2,072",$4.76 ,"1,250",811
Brand F,REMAINING FLAVOR,268,$4.09 ,235,144
